OCR,T,P,c
464.56,42.93,1.34,5.27
464.04,43.05,1.35,5.27
464.26,43,1.34,5.28
464.58,42.93,1.34,5.27
463.84,43.07,1.35,5.26
464.23,43.02,1.34,5.28
464.4,42.98,1.34,5.28
463.95,43.07,1.35,5.27
464.13,43.03,1.34,5.28
464.35,42.96,1.34,5.27
464.03,43.03,1.35,5.26
463.99,43.07,1.35,5.27
464.17,43.01,1.35,5.27
463.9,43.06,1.35,5.27
463.53,43.16,1.35,5.27
464.06,43.05,1.34,5.28
464.2,43.01,1.35,5.27
463.65,43.12,1.35,5.27
464.15,43.04,1.34,5.28
464.46,42.94,1.34,5.28
463.8,43.09,1.35,5.27
464.08,43.04,1.35,5.27
464.34,42.98,1.34,5.27
464.24,42.99,1.35,5.27
463.84,43.08,1.35,5.27
464.38,42.98,1.34,5.27
464.34,42.96,1.35,5.26
464.08,43.05,1.34,5.26
464.43,42.97,1.34,5.27
464.29,42.98,1.34,5.27
464.2,43.01,1.34,5.27
464.45,42.94,1.34,5.26
464.62,42.92,1.34,5.26
464.08,43.04,1.35,5.26
464.26,42.99,1.34,5.27
464.4,42.94,1.34,5.26
463.89,43.04,1.35,5.26
463.98,43.04,1.35,5.26
464.05,43.02,1.34,5.26
463.95,43.03,1.35,5.26
464.01,43.05,1.34,5.26
464.38,42.97,1.34,5.26
464.1,43.03,1.35,5.26
463.77,43.11,1.35,5.27
464.01,43.06,1.34,5.28
463.5,43.13,1.35,5.27
463.44,43.17,1.35,5.27
463.92,43.06,1.35,5.27
463.78,43.09,1.35,5.27
463.65,43.13,1.35,5.27
464.14,43.04,1.34,5.28
464.42,42.95,1.34,5.27
463.77,43.07,1.35,5.26
464.18,43.01,1.34,5.26
464.23,42.98,1.34,5.26
464.18,42.99,1.35,5.26
463.99,43.05,1.34,5.26
464.25,42.98,1.34,5.26
464.32,42.96,1.35,5.26
463.97,43.03,1.34,5.25
464.35,42.96,1.34,5.25
464.41,42.94,1.35,5.25
463.86,43.07,1.34,5.25
464.18,42.99,1.34,5.26
464.43,42.94,1.34,5.26
464.27,42.96,1.35,5.25
463.88,43.07,1.34,5.25
464.22,42.98,1.34,5.26
464.16,42.99,1.35,5.25
463.52,43.13,1.35,5.25
463.88,43.05,1.34,5.26
463.93,43.04,1.35,5.26
463.57,43.12,1.35,5.26
463.77,43.08,1.35,5.26
463.87,43.05,1.35,5.25
463.53,43.13,1.35,5.25
463.69,43.08,1.35,5.25
464.18,42.99,1.34,5.25
463.64,43.09,1.35,5.24
463.68,43.11,1.35,5.26
464.1,43.01,1.34,5.26
464.06,43.01,1.35,5.25
463.91,43.04,1.34,5.25
464.3,42.96,1.34,5.25
464.43,42.93,1.35,5.25
463.83,43.07,1.35,5.24
464.23,42.99,1.34,5.25
464.29,42.95,1.34,5.25
463.65,43.09,1.35,5.24
463.82,43.05,1.34,5.24
464.27,42.96,1.34,5.25
463.95,43.02,1.35,5.24
463.83,43.05,1.34,5.25
464.11,43.01,1.34,5.25
463.85,43.05,1.35,5.24
463.93,43.04,1.34,5.25
464.18,42.98,1.34,5.25
463.88,43.03,1.35,5.24
463.45,43.14,1.35,5.25
463.97,43.03,1.34,5.26
464.2,42.97,1.34,5.25
463.76,43.06,1.34,5.24
464.16,42.98,1.34,5.24
464.36,42.93,1.34,5.24
463.9,43.03,1.34,5.23
464.15,42.98,1.34,5.24
464.47,42.92,1.34,5.24
464.21,42.95,1.34,5.23
464.14,42.98,1.34,5.23
464.48,42.91,1.34,5.23
464.44,42.91,1.34,5.23
463.87,43.04,1.34,5.23
464.14,42.98,1.34,5.24
464.23,42.94,1.34,5.24
463.76,43.04,1.35,5.23
463.58,43.1,1.35,5.24
463.98,43.01,1.34,5.25
463.72,43.08,1.35,5.24
463.52,43.14,1.34,5.25
463.87,43.04,1.34,5.25
463.69,43.07,1.35,5.25
463.28,43.18,1.35,5.24
463.7,43.08,1.34,5.25
463.76,43.07,1.35,5.25
463.32,43.17,1.35,5.25
463.67,43.09,1.34,5.25
463.78,43.06,1.35,5.25
463.25,43.18,1.35,5.25
463.75,43.07,1.35,5.25
463.79,43.06,1.35,5.25
463.42,43.14,1.35,5.25
463.5,43.14,1.35,5.25
464.08,43.01,1.34,5.26
463.87,43.04,1.35,5.25
463.75,43.07,1.34,5.25
464.26,42.97,1.34,5.25
464,42.99,1.35,5.24
463.67,43.09,1.34,5.24
463.83,43.05,1.34,5.24
463.55,43.09,1.35,5.24
463.2,43.18,1.35,5.24
463.5,43.12,1.34,5.24
463.63,43.09,1.35,5.24
463.33,43.16,1.35,5.24
463.6,43.1,1.34,5.25
463.82,43.05,1.35,5.25
463.66,43.09,1.34,5.24
463.9,43.03,1.34,5.24
464.04,42.99,1.34,5.24
463.9,43.02,1.34,5.23
464.08,43,1.34,5.24
464.04,43,1.34,5.24
463.7,43.05,1.35,5.23
463.9,43.02,1.34,5.24
463.44,43.12,1.35,5.24
463.49,43.12,1.34,5.24
463.96,43.03,1.34,5.25
463.77,43.04,1.35,5.24
463.4,43.14,1.35,5.24
463.86,43.05,1.34,5.24
463.74,43.06,1.35,5.24
463.44,43.13,1.35,5.24
463.74,43.06,1.34,5.24
463.79,43.05,1.34,5.23
463.57,43.1,1.35,5.23
463.78,43.06,1.34,5.24
464.02,43,1.34,5.24
464.01,42.99,1.34,5.23
463.53,43.1,1.35,5.23
463.75,43.05,1.34,5.24
463.98,43,1.34,5.23
463.29,43.15,1.35,5.23
463.76,43.08,1.34,5.24
463.95,43.01,1.34,5.24
463.49,43.1,1.35,5.23
463.63,43.09,1.34,5.24
463.77,43.03,1.34,5.23
463.72,43.04,1.35,5.23
463.24,43.15,1.35,5.22
463.76,43.06,1.34,5.23
463.73,43.06,1.35,5.23
463.42,43.14,1.34,5.24
463.92,43.01,1.35,5.23
463.28,43.14,1.34,5.23
463.71,43.06,1.34,5.23
464.01,43,1.34,5.23
463.54,43.09,1.35,5.23
463.48,43.11,1.34,5.23
463.65,43.06,1.34,5.23
463.67,43.06,1.35,5.23
463.44,43.11,1.34,5.23
463.99,43.01,1.34,5.23
464.17,42.94,1.35,5.22
463.47,43.1,1.35,5.22
463.63,43.07,1.34,5.22
463.5,43.09,1.35,5.22
463.03,43.21,1.35,5.23
463.55,43.1,1.34,5.23
463.62,43.09,1.35,5.23
463.13,43.18,1.35,5.23
463.36,43.13,1.34,5.23
463.56,43.07,1.35,5.23
463.06,43.18,1.35,5.22
463.38,43.11,1.34,5.23
463.78,43.04,1.34,5.23
463.18,43.13,1.35,5.22
463.73,43.03,1.35,5.22
463.29,43.13,1.35,5.22
463.4,43.12,1.34,5.22
463.62,43.07,1.35,5.22
463.43,43.11,1.35,5.22
463.72,43.08,1.34,5.23
463.9,43.01,1.34,5.23
463.57,43.06,1.35,5.22
